GEO_TTL,State,ESTAB,EMP,EMPSZES_TTL,PAYANN,YEAR
Indiana,18,13287,399866,Establishments with 20 to 49 employees,13333900,2011
Indiana,18,4723,323213,Establishments with 50 to 99 employees,11512629,2011
Indiana,18,2661,391929,Establishments with 100 to 249 employees,15285821,2011
Indiana,18,738,251225,Establishments with 250 to 499 employees,10600496,2011
Indiana,18,260,179535,Establishments with 500 to 999 employees,8215463,2011
Indiana,18,151,298534,"Establishments with 1,000 employees or more",16418707,2011
Iowa,19,80113,1263665,All establishments,46556111,2011
Iowa,19,42388,75763,Establishments with 1 to 4 employees,2571451,2011
Iowa,19,15625,103580,Establishments with 5 to 9 employees,3148367,2011
Iowa,19,11099,149436,Establishments with 10 to 19 employees,4664012,2011
Iowa,19,6778,203913,Establishments with 20 to 49 employees,6809042,2011
Iowa,19,2414,164567,Establishments with 50 to 99 employees,5693152,2011
Iowa,19,1226,184293,Establishments with 100 to 249 employees,6592578,2011
Iowa,19,389,134143,Establishments with 250 to 499 employees,5540757,2011
Iowa,19,118,80854,Establishments with 500 to 999 employees,3263130,2011
Iowa,19,76,167116,"Establishments with 1,000 employees or more",8273622,2011
Kansas,20,73598,1113423,All establishments,43733944,2011
Kansas,20,39226,70228,Establishments with 1 to 4 employees,2603496,2011
Kansas,20,14328,94594,Establishments with 5 to 9 employees,2962912,2011
Kansas,20,9697,130588,Establishments with 10 to 19 employees,4345958,2011
Kansas,20,6501,195306,Establishments with 20 to 49 employees,6781344,2011
Kansas,20,2167,148848,Establishments with 50 to 99 employees,5572306,2011
Kansas,20,1219,182365,Establishments with 100 to 249 employees,7507792,2011
Kansas,20,304,105515,Establishments with 250 to 499 employees,4276057,2011
Kansas,20,110,75242,Establishments with 500 to 999 employees,3795648,2011
Kansas,20,46,110737,"Establishments with 1,000 employees or more",5888431,2011
Kentucky,21,89770,1463173,All establishments,54351979,2011
Kentucky,21,45311,82764,Establishments with 1 to 4 employees,2952590,2011
Kentucky,21,18354,121788,Establishments with 5 to 9 employees,3705890,2011
Kentucky,21,12718,171244,Establishments with 10 to 19 employees,5322523,2011
Kentucky,21,8339,249395,Establishments with 20 to 49 employees,8167204,2011
Kentucky,21,2707,185342,Establishments with 50 to 99 employees,6358914,2011
Kentucky,21,1674,252137,Establishments with 100 to 249 employees,9808297,2011
Kentucky,21,452,157450,Establishments with 250 to 499 employees,6408240,2011
Kentucky,21,146,101032,Establishments with 500 to 999 employees,4365887,2011
Kentucky,21,69,142021,"Establishments with 1,000 employees or more",7262434,2011
Louisiana,22,103216,1617229,All establishments,65771545,2011
Louisiana,22,51541,94455,Establishments with 1 to 4 employees,3738524,2011
Louisiana,22,21565,143533,Establishments with 5 to 9 employees,4669874,2011
Louisiana,22,14403,194027,Establishments with 10 to 19 employees,6702392,2011
Louisiana,22,10027,302255,Establishments with 20 to 49 employees,10865402,2011
Louisiana,22,3355,230339,Establishments with 50 to 99 employees,8819253,2011
Louisiana,22,1704,251433,Establishments with 100 to 249 employees,10598986,2011
Louisiana,22,381,133944,Establishments with 250 to 499 employees,5844275,2011
Louisiana,22,160,109866,Establishments with 500 to 999 employees,6174153,2011
Louisiana,22,80,157377,"Establishments with 1,000 employees or more",8358686,2011
Maine,23,40112,479728,All establishments,17764334,2011
Maine,23,23247,37767,Establishments with 1 to 4 employees,1413108,2011
Maine,23,7562,50232,Establishments with 5 to 9 employees,1580392,2011
Maine,23,4766,63900,Establishments with 10 to 19 employees,2011997,2011
Maine,23,2948,87614,Establishments with 20 to 49 employees,2904366,2011
Maine,23,914,62293,Establishments with 50 to 99 employees,2128991,2011
Maine,23,493,70944,Establishments with 100 to 249 employees,2735690,2011
Maine,23,124,42599,Establishments with 250 to 499 employees,1751209,2011
Maine,23,41,28746,Establishments with 500 to 999 employees,1385868,2011
Maine,23,17,35633,"Establishments with 1,000 employees or more",1852713,2011
Maryland,24,133248,2104022,All establishments,101300769,2011
Maryland,24,70959,123572,Establishments with 1 to 4 employees,5888513,2011
Maryland,24,25057,165911,Establishments with 5 to 9 employees,6520845,2011
Maryland,24,17478,235823,Establishments with 10 to 19 employees,9484438,2011
Maryland,24,12211,368963,Establishments with 20 to 49 employees,15636603,2011
Maryland,24,4249,290541,Establishments with 50 to 99 employees,13203244,2011
Maryland,24,2468,368589,Establishments with 100 to 249 employees,17838721,2011
Maryland,24,523,175997,Establishments with 250 to 499 employees,9407778,2011
Maryland,24,181,120849,Establishments with 500 to 999 employees,7645013,2011
Maryland,24,122,253777,"Establishments with 1,000 employees or more",15675614,2011
Massachusetts,25,169146,2960712,All establishments,165193320,2011
Massachusetts,25,90519,156808,Establishments with 1 to 4 employees,7915530,2011
Massachusetts,25,32459,215569,Establishments with 5 to 9 employees,9033431,2011
Massachusetts,25,21762,292899,Establishments with 10 to 19 employees,12503681,2011
Massachusetts,25,14607,441928,Establishments with 20 to 49 employees,20765642,2011
Massachusetts,25,5243,359041,Establishments with 50 to 99 employees,18216018,2011
Massachusetts,25,3299,500627,Establishments with 100 to 249 employees,28087138,2011
Massachusetts,25,785,272015,Establishments with 250 to 499 employees,17554085,2011
Massachusetts,25,271,182936,Establishments with 500 to 999 employees,14279613,2011
Massachusetts,25,201,538889,"Establishments with 1,000 employees or more",36838182,2011
Michigan,26,217344,3379035,All establishments,145830792,2011
Michigan,26,114717,197242,Establishments with 1 to 4 employees,8181842,2011
Michigan,26,43202,286106,Establishments with 5 to 9 employees,9653581,2011
Michigan,26,29540,397337,Establishments with 10 to 19 employees,13723470,2011
Michigan,26,18487,553441,Establishments with 20 to 49 employees,21043195,2011
Michigan,26,6282,432841,Establishments with 50 to 99 employees,17207088,2011
Michigan,26,3671,545579,Establishments with 100 to 249 employees,23664521,2011
Michigan,26,913,305446,Establishments with 250 to 499 employees,14967283,2011
Michigan,26,327,221973,Establishments with 500 to 999 employees,11506720,2011
Michigan,26,205,439070,"Establishments with 1,000 employees or more",25883092,2011
Minnesota,27,144606,2393746,All establishments,110750868,2011
Minnesota,27,79124,127022,Establishments with 1 to 4 employees,5477511,2011
Minnesota,27,25586,171190,Establishments with 5 to 9 employees,5811660,2011
Minnesota,27,19229,259323,Establishments with 10 to 19 employees,8818411,2011
Minnesota,27,12455,376579,Establishments with 20 to 49 employees,14445094,2011
Minnesota,27,4499,308931,Establishments with 50 to 99 employees,12609058,2011
Minnesota,27,2619,397473,Establishments with 100 to 249 employees,17222867,2011
Minnesota,27,679,233034,Establishments with 250 to 499 employees,12499790,2011
Minnesota,27,259,176003,Establishments with 500 to 999 employees,10509195,2011
Minnesota,27,156,344191,"Establishments with 1,000 employees or more",23357282,2011
Mississippi,28,58592,887772,All establishments,29585310,2011
Mississippi,28,29838,56784,Establishments with 1 to 4 employees,1827199,2011
Mississippi,28,12636,83447,Establishments with 5 to 9 employees,2364845,2011
Mississippi,28,8155,109178,Establishments with 10 to 19 employees,3233160,2011
Mississippi,28,5137,153663,Establishments with 20 to 49 employees,4631276,2011
Mississippi,28,1644,113606,Establishments with 50 to 99 employees,3543396,2011
Mississippi,28,805,119341,Establishments with 100 to 249 employees,4021280,2011
Mississippi,28,238,83819,Establishments with 250 to 499 employees,3012778,2011
Mississippi,28,89,62453,Establishments with 500 to 999 employees,2106048,2011
Mississippi,28,50,105481,"Establishments with 1,000 employees or more",4845328,2011
Missouri,29,147274,2298295,All establishments,92601836,2011
Missouri,29,79928,138046,Establishments with 1 to 4 employees,4923086,2011
Missouri,29,27389,181439,Establishments with 5 to 9 employees,5856070,2011
Missouri,29,19503,263026,Establishments with 10 to 19 employees,8569400,2011
Missouri,29,12794,387417,Establishments with 20 to 49 employees,13429460,2011
Missouri,29,4304,293985,Establishments with 50 to 99 employees,10965194,2011
Missouri,29,2352,350700,Establishments with 100 to 249 employees,14558293,2011
Missouri,29,636,219502,Establishments with 250 to 499 employees,9698151,2011
Missouri,29,225,155714,Establishments with 500 to 999 employees,8099555,2011
Missouri,29,143,308466,"Establishments with 1,000 employees or more",16502627,2011
Montana,30,35687,336110,All establishments,11291642,2011
Montana,30,21807,35020,Establishments with 1 to 4 employees,1204831,2011
Montana,30,6493,42798,Establishments with 5 to 9 employees,1237735,2011
Montana,30,4085,54721,Establishments with 10 to 19 employees,1615019,2011
Montana,30,2267,66672,Establishments with 20 to 49 employees,2100003,2011
Montana,30,668,45796,Establishments with 50 to 99 employees,1456067,2011
Montana,30,284,40455,Establishments with 100 to 249 employees,1566668,2011
Montana,30,53,18168,Establishments with 250 to 499 employees,705387,2011
Montana,30,20,13709,Establishments with 500 to 999 employees,634007,2011
Montana,30,10,18771,"Establishments with 1,000 employees or more",771925,2011
Nebraska,31,51553,797681,All establishments,29969153,2011
Nebraska,31,28220,49070,Establishments with 1 to 4 employees,1684793,2011
Nebraska,31,9852,65051,Establishments with 5 to 9 employees,2003589,2011
Nebraska,31,6568,88387,Establishments with 10 to 19 employees,2762956,2011
Nebraska,31,4442,133558,Establishments with 20 to 49 employees,4501304,2011
Nebraska,31,1413,96764,Establishments with 50 to 99 employees,3351499,2011
Nebraska,31,718,108730,Establishments with 100 to 249 employees,4538105,2011
Nebraska,31,217,76505,Establishments with 250 to 499 employees,3269666,2011
Nebraska,31,75,50450,Establishments with 500 to 999 employees,2385287,2011
Nebraska,31,48,129166,"Establishments with 1,000 employees or more",5471954,2011
Nevada,32,58777,1000610,All establishments,38743505,2011
Nevada,32,32059,51802,Establishments with 1 to 4 employees,2607352,2011
Nevada,32,10899,72391,Establishments with 5 to 9 employees,2561455,2011
Nevada,32,7765,104676,Establishments with 10 to 19 employees,3643769,2011
Nevada,32,4986,149157,Establishments with 20 to 49 employees,5525802,2011
Nevada,32,1673,114498,Establishments with 50 to 99 employees,4260329,2011
Nevada,32,964,142396,Establishments with 100 to 249 employees,5286406,2011
Nevada,32,230,80514,Establishments with 250 to 499 employees,3221756,2011
Nevada,32,115,81118,Establishments with 500 to 999 employees,3190008,2011
Nevada,32,86,204058,"Establishments with 1,000 employees or more",8446628,2011
New Hampshire,33,37031,554001,All establishments,24369871,2011
New Hampshire,33,19745,34876,Establishments with 1 to 4 employees,1640672,2011
New Hampshire,33,7446,49498,Establishments with 5 to 9 employees,1816553,2011
New Hampshire,33,4865,65229,Establishments with 10 to 19 employees,2509687,2011
New Hampshire,33,3138,93972,Establishments with 20 to 49 employees,3783382,2011
New Hampshire,33,1024,69807,Establishments with 50 to 99 employees,2819908,2011
New Hampshire,33,600,87907,Establishments with 100 to 249 employees,3480310,2011
New Hampshire,33,136,46923,Establishments with 250 to 499 employees,2063130,2011
New Hampshire,33,58,37950,Establishments with 500 to 999 employees,2076843,2011
New Hampshire,33,19,67839,"Establishments with 1,000 employees or more",4179386,2011
New Jersey,34,226878,3377848,All establishments,183507386,2011
New Jersey,34,131698,226226,Establishments with 1 to 4 employees,10207787,2011
New Jersey,34,39602,261320,Establishments with 5 to 9 employees,10659960,2011
New Jersey,34,26554,357026,Establishments with 10 to 19 employees,15191117,2011
New Jersey,34,17727,537169,Establishments with 20 to 49 employees,24938307,2011
New Jersey,34,6160,422358,Establishments with 50 to 99 employees,21215682,2011
New Jersey,34,3727,567169,Establishments with 100 to 249 employees,29901703,2011
New Jersey,34,878,296300,Establishments with 250 to 499 employees,18592288,2011
New Jersey,34,297,202090,Establishments with 500 to 999 employees,14185228,2011
New Jersey,34,235,508190,"Establishments with 1,000 employees or more",38615314,2011
New Mexico,35,43860,597568,All establishments,22037682,2011
New Mexico,35,23271,41282,Establishments with 1 to 4 employees,1460327,2011
New Mexico,35,8700,57736,Establishments with 5 to 9 employees,1787234,2011
New Mexico,35,6010,81312,Establishments with 10 to 19 employees,2553297,2011
New Mexico,35,3853,115726,Establishments with 20 to 49 employees,3893567,2011
New Mexico,35,1177,80316,Establishments with 50 to 99 employees,2623500,2011
New Mexico,35,624,91352,Establishments with 100 to 249 employees,3361699,2011
New Mexico,35,162,55597,Establishments with 250 to 499 employees,2193740,2011
New Mexico,35,47,31053,Establishments with 500 to 999 employees,1451819,2011
New Mexico,35,16,43194,"Establishments with 1,000 employees or more",2712499,2011
New York,36,521537,7369731,All establishments,435008622,2011
New York,36,317425,525006,Establishments with 1 to 4 employees,24235464,2011
New York,36,86771,572878,Establishments with 5 to 9 employees,23544996,2011
New York,36,57126,771161,Establishments with 10 to 19 employees,33234393,2011
New York,36,37415,1124246,Establishments with 20 to 49 employees,53921620,2011
New York,36,12360,845156,Establishments with 50 to 99 employees,45724295,2011
New York,36,7067,1066160,Establishments with 100 to 249 employees,64395370,2011
New York,36,2002,690301,Establishments with 250 to 499 employees,44461712,2011
New York,36,822,559356,Establishments with 500 to 999 employees,38550128,2011
New York,36,549,1215467,"Establishments with 1,000 employees or more",106940644,2011
North Carolina,37,215113,3284592,All establishments,131631342,2011
North Carolina,37,114526,198650,Establishments with 1 to 4 employees,7534982,2011
North Carolina,37,41748,277037,Establishments with 5 to 9 employees,8911850,2011
North Carolina,37,28205,381293,Establishments with 10 to 19 employees,12416883,2011
North Carolina,37,19548,594299,Establishments with 20 to 49 employees,19576988,2011
North Carolina,37,6366,432801,Establishments with 50 to 99 employees,15458859,2011
North Carolina,37,3372,498463,Establishments with 100 to 249 employees,19934167,2011
North Carolina,37,856,296078,Establishments with 250 to 499 employees,13693935,2011
North Carolina,37,315,221494,Establishments with 500 to 999 employees,11390791,2011
North Carolina,37,177,384477,"Establishments with 1,000 employees or more",22712887,2011
North Dakota,38,22370,306064,All establishments,12281089,2011
North Dakota,38,12014,20254,Establishments with 1 to 4 employees,824473,2011
North Dakota,38,4194,27620,Establishments with 5 to 9 employees,928674,2011
North Dakota,38,3064,41383,Establishments with 10 to 19 employees,1415141,2011
North Dakota,38,1998,58833,Establishments with 20 to 49 employees,2141622,2011
North Dakota,38,645,44238,Establishments with 50 to 99 employees,1713969,2011
North Dakota,38,345,52182,Establishments with 100 to 249 employees,2118798,2011
North Dakota,38,80,28275,Establishments with 250 to 499 employees,1220045,2011
North Dakota,38,21,14899,Establishments with 500 to 999 employees,860531,2011
North Dakota,38,9,18380,"Establishments with 1,000 employees or more",1057836,2011
Ohio,39,250476,4432849,All establishments,182110083,2011
Ohio,39,123225,222823,Establishments with 1 to 4 employees,8758904,2011
Ohio,39,51613,343300,Establishments with 5 to 9 employees,11160454,2011
Ohio,39,35828,482059,Establishments with 10 to 19 employees,16217886,2011
Ohio,39,24131,726989,Establishments with 20 to 49 employees,25742586,2011
Ohio,39,8684,597313,Establishments with 50 to 99 employees,22649100,2011
Ohio,39,5072,754498,Establishments with 100 to 249 employees,30584469,2011
Ohio,39,1212,415284,Establishments with 250 to 499 employees,19360796,2011
Ohio,39,444,301390,Establishments with 500 to 999 employees,15289009,2011
Ohio,39,267,589193,"Establishments with 1,000 employees or more",32346879,2011
Oklahoma,40,89749,1261590,All establishments,49373824,2011
Oklahoma,40,48447,86362,Establishments with 1 to 4 employees,3216144,2011
Oklahoma,40,17566,116031,Establishments with 5 to 9 employees,3626115,2011
Oklahoma,40,11527,156172,Establishments with 10 to 19 employees,5085890,2011
Oklahoma,40,7938,240384,Establishments with 20 to 49 employees,8133221,2011
Oklahoma,40,2476,170561,Establishments with 50 to 99 employees,5964010,2011
Oklahoma,40,1269,187873,Establishments with 100 to 249 employees,7595197,2011
Oklahoma,40,349,120863,Establishments with 250 to 499 employees,5580155,2011
Oklahoma,40,125,83928,Establishments with 500 to 999 employees,4203557,2011
Oklahoma,40,52,99416,"Establishments with 1,000 employees or more",5969535,2011
Oregon,41,106340,1341841,All establishments,56092081,2011
Oregon,41,59308,101293,Establishments with 1 to 4 employees,3682912,2011
Oregon,41,20564,136586,Establishments with 5 to 9 employees,4287228,2011
Oregon,41,13647,183931,Establishments with 10 to 19 employees,6011105,2011
Oregon,41,8456,250982,Establishments with 20 to 49 employees,9065534,2011
Oregon,41,2552,172081,Establishments with 50 to 99 employees,6788921,2011
Oregon,41,1325,196112,Establishments with 100 to 249 employees,8271702,2011
Oregon,41,308,103702,Establishments with 250 to 499 employees,5072668,2011
Oregon,41,124,85025,Establishments with 500 to 999 employees,4428920,2011
Oregon,41,56,112129,"Establishments with 1,000 employees or more",8483091,2011
Pennsylvania,42,295720,5078111,All establishments,222252066,2011
Pennsylvania,42,151574,275729,Establishments with 1 to 4 employees,10728037,2011
Pennsylvania,42,59396,393152,Establishments with 5 to 9 employees,13423459,2011
Pennsylvania,42,40254,542553,Establishments with 10 to 19 employees,19953375,2011
Pennsylvania,42,27285,824191,Establishments with 20 to 49 employees,31842668,2011
Pennsylvania,42,9501,651815,Establishments with 50 to 99 employees,26680951,2011
Pennsylvania,42,5460,826860,Establishments with 100 to 249 employees,34948118,2011
Pennsylvania,42,1393,474619,Establishments with 250 to 499 employees,23888606,2011
Pennsylvania,42,552,379757,Establishments with 500 to 999 employees,21177347,2011
Pennsylvania,42,305,709435,"Establishments with 1,000 employees or more",39609505,2011
Rhode Island,44,28181,406222,All establishments,17274591,2011
Rhode Island,44,15785,26353,Establishments with 1 to 4 employees,1104278,2011
Rhode Island,44,5184,34298,Establishments with 5 to 9 employees,1260618,2011
Rhode Island,44,3492,46917,Establishments with 10 to 19 employees,1710414,2011
Rhode Island,44,2354,70422,Establishments with 20 to 49 employees,2642906,2011
Rhode Island,44,754,51280,Establishments with 50 to 99 employees,1974927,2011
Rhode Island,44,462,69166,Establishments with 100 to 249 employees,2629848,2011
Rhode Island,44,93,30518,Establishments with 250 to 499 employees,1596402,2011
Rhode Island,44,31,22350,Establishments with 500 to 999 employees,1285034,2011
Rhode Island,44,26,54918,"Establishments with 1,000 employees or more",3070164,2011
South Carolina,45,100481,1521123,All establishments,54433127,2011
South Carolina,45,52712,95182,Establishments with 1 to 4 employees,3312974,2011
South Carolina,45,20578,136162,Establishments with 5 to 9 employees,4020974,2011
South Carolina,45,13327,180080,Establishments with 10 to 19 employees,5504830,2011
South Carolina,45,8848,268376,Establishments with 20 to 49 employees,8407210,2011
South Carolina,45,2845,195402,Establishments with 50 to 99 employees,6206877,2011
South Carolina,45,1531,228270,Establishments with 100 to 249 employees,8208651,2011
South Carolina,45,395,138386,Establishments with 250 to 499 employees,5521835,2011
South Carolina,45,157,108144,Establishments with 500 to 999 employees,4721168,2011
South Carolina,45,88,171121,"Establishments with 1,000 employees or more",8528608,2011
South Dakota,46,25494,326749,All establishments,11188600,2011
South Dakota,46,14150,24608,Establishments with 1 to 4 employees,894603,2011
South Dakota,46,4968,32851,Establishments with 5 to 9 employees,971092,2011
South Dakota,46,3313,44538,Establishments with 10 to 19 employees,1336239,2011
South Dakota,46,1985,59170,Establishments with 20 to 49 employees,1829310,2011
South Dakota,46,631,43144,Establishments with 50 to 99 employees,1380445,2011
South Dakota,46,325,48612,Establishments with 100 to 249 employees,1744039,2011
South Dakota,46,84,29474,Establishments with 250 to 499 employees,1033580,2011
South Dakota,46,29,20084,Establishments with 500 to 999 employees,882182,2011
South Dakota,46,9,24268,"Establishments with 1,000 employees or more",1117110,2011
Tennessee,47,129489,2300542,All establishments,91783286,2011
Tennessee,47,63773,120220,Establishments with 1 to 4 employees,4687958,2011
Tennessee,47,26633,176582,Establishments with 5 to 9 employees,5820332,2011
Tennessee,47,18331,247416,Establishments with 10 to 19 employees,8427360,2011
Tennessee,47,12768,383876,Establishments with 20 to 49 employees,13692905,2011
Tennessee,47,4318,297286,Establishments with 50 to 99 employees,11276507,2011
Tennessee,47,2588,387556,Establishments with 100 to 249 employees,15167893,2011
Tennessee,47,720,247487,Establishments with 250 to 499 employees,10349610,2011
Tennessee,47,224,148101,Establishments with 500 to 999 employees,7223007,2011
Tennessee,47,134,292018,"Establishments with 1,000 employees or more",15137714,2011
Texas,48,525420,8987663,All establishments,414113062,2011
Texas,48,271042,481611,Establishments with 1 to 4 employees,22482403,2011
Texas,48,102522,678448,Establishments with 5 to 9 employees,24473769,2011
Texas,48,71182,963401,Establishments with 10 to 19 employees,35519732,2011
Texas,48,49951,1506543,Establishments with 20 to 49 employees,57481915,2011
Texas,48,17069,1171468,Establishments with 50 to 99 employees,48490898,2011
Texas,48,9602,1441994,Establishments with 100 to 249 employees,66357346,2011
Texas,48,2549,882337,Establishments with 250 to 499 employees,45138852,2011
Texas,48,973,669098,Establishments with 500 to 999 employees,39377902,2011
Texas,48,530,1192763,"Establishments with 1,000 employees or more",74790245,2011
Utah,49,68747,1029103,All establishments,39922601,2011
Utah,49,39679,60648,Establishments with 1 to 4 employees,2403632,2011
Utah,49,11824,78645,Establishments with 5 to 9 employees,2516049,2011
Utah,49,8446,113572,Establishments with 10 to 19 employees,3607345,2011
Utah,49,5530,165600,Establishments with 20 to 49 employees,5928257,2011
Utah,49,1797,123116,Establishments with 50 to 99 employees,4766934,2011
Utah,49,1003,146334,Establishments with 100 to 249 employees,6061814,2011
Utah,49,303,104171,Establishments with 250 to 499 employees,4874856,2011
Utah,49,106,72962,Establishments with 500 to 999 employees,3630815,2011
Utah,49,59,164055,"Establishments with 1,000 employees or more",6132899,2011
Vermont,50,21190,264208,All establishments,9589916,2011
Vermont,50,12320,21137,Establishments with 1 to 4 employees,802563,2011
Vermont,50,4058,26789,Establishments with 5 to 9 employees,863091,2011
Vermont,50,2544,33911,Establishments with 10 to 19 employees,1111155,2011
Vermont,50,1525,45634,Establishments with 20 to 49 employees,1609232,2011
Vermont,50,431,30131,Establishments with 50 to 99 employees,1098744,2011
Vermont,50,229,34315,Establishments with 100 to 249 employees,1338455,2011
Vermont,50,48,16568,Establishments with 250 to 499 employees,719586,2011
Vermont,50,19,13142,Establishments with 500 to 999 employees,644377,2011
Vermont,50,16,42581,"Establishments with 1,000 employees or more",1402713,2011
Virginia,51,191063,3029030,All establishments,145346258,2011
Virginia,51,101003,177765,Establishments with 1 to 4 employees,7631963,2011
Virginia,51,36480,242436,Establishments with 5 to 9 employees,8956368,2011
Virginia,51,25620,345644,Establishments with 10 to 19 employees,13063134,2011
Virginia,51,17514,530331,Establishments with 20 to 49 employees,21380631,2011
Virginia,51,5932,407718,Establishments with 50 to 99 employees,18070958,2011
Virginia,51,3181,473897,Establishments with 100 to 249 employees,23075071,2011
Virginia,51,845,292335,Establishments with 250 to 499 employees,16700821,2011
Virginia,51,313,210202,Establishments with 500 to 999 employees,13485316,2011
Virginia,51,175,348702,"Establishments with 1,000 employees or more",22981996,2011
Washington,53,173511,2355123,All establishments,118647827,2011
Washington,53,98492,165676,Establishments with 1 to 4 employees,7116915,2011
Washington,53,32911,217613,Establishments with 5 to 9 employees,7797476,2011
Washington,53,21273,286725,Establishments with 10 to 19 employees,10728796,2011
Washington,53,13306,399156,Establishments with 20 to 49 employees,16023771,2011
Washington,53,4283,292971,Establishments with 50 to 99 employees,12729680,2011
Washington,53,2395,354383,Establishments with 100 to 249 employees,16217301,2011
Washington,53,555,189362,Establishments with 250 to 499 employees,11143145,2011
Washington,53,185,127538,Establishments with 500 to 999 employees,9308252,2011
Washington,53,111,321699,"Establishments with 1,000 employees or more",27582491,2011
West Virginia,54,38150,568344,All establishments,20681836,2011
West Virginia,54,18508,35435,Establishments with 1 to 4 employees,1077657,2011
West Virginia,54,8630,57180,Establishments with 5 to 9 employees,1591773,2011
West Virginia,54,5692,76645,Establishments with 10 to 19 employees,2313834,2011
West Virginia,54,3413,102283,Establishments with 20 to 49 employees,3415959,2011
West Virginia,54,1103,75576,Establishments with 50 to 99 employees,2566983,2011
West Virginia,54,566,84419,Establishments with 100 to 249 employees,3180274,2011
West Virginia,54,158,53845,Establishments with 250 to 499 employees,2405790,2011
West Virginia,54,55,38776,Establishments with 500 to 999 employees,1947791,2011
West Virginia,54,25,44185,"Establishments with 1,000 employees or more",2181775,2011
Wisconsin,55,138045,2354284,All establishments,95532272,2011
Wisconsin,55,70748,123648,Establishments with 1 to 4 employees,4933407,2011
Wisconsin,55,26668,176578,Establishments with 5 to 9 employees,5643251,2011
Wisconsin,55,19325,262141,Establishments with 10 to 19 employees,8347569,2011
Wisconsin,55,12948,388640,Establishments with 20 to 49 employees,13605785,2011
Wisconsin,55,4577,315448,Establishments with 50 to 99 employees,11878771,2011
Wisconsin,55,2704,404972,Establishments with 100 to 249 employees,16266467,2011
Wisconsin,55,663,229127,Establishments with 250 to 499 employees,10244378,2011
Wisconsin,55,277,191383,Establishments with 500 to 999 employees,9914863,2011
Wisconsin,55,135,262347,"Establishments with 1,000 employees or more",14697781,2011
Wyoming,56,20329,208385,All establishments,9109733,2011
Wyoming,56,12017,20484,Establishments with 1 to 4 employees,827784,2011
Wyoming,56,3837,25352,Establishments with 5 to 9 employees,857300,2011
Wyoming,56,2482,33410,Establishments with 10 to 19 employees,1222623,2011
Wyoming,56,1375,40133,Establishments with 20 to 49 employees,1601128,2011
Wyoming,56,372,25538,Establishments with 50 to 99 employees,1108544,2011
Wyoming,56,177,26341,Establishments with 100 to 249 employees,1312346,2011
Wyoming,56,47,17333,Establishments with 250 to 499 employees,959109,2011
Wyoming,56,15,9806,Establishments with 500 to 999 employees,598009,2011
Wyoming,56,7,9988,"Establishments with 1,000 employees or more",622890,2011
American Samoa,60,479,7369,All establishments,107596,2011
American Samoa,60,268,548,Establishments with 1 to 4 employees,8612,2011
American Samoa,60,82,539,Establishments with 5 to 9 employees,7675,2011
American Samoa,60,65,878,Establishments with 10 to 19 employees,10958,2011
American Samoa,60,44,1352,Establishments with 20 to 49 employees,17353,2011
American Samoa,60,14,954,Establishments with 50 to 99 employees,14914,2011
American Samoa,60,4,518,Establishments with 100 to 249 employees,9649,2011
American Samoa,60,0,0,Establishments with 250 to 499 employees,0,2011
American Samoa,60,1,0,Establishments with 500 to 999 employees,0,2011
American Samoa,60,1,0,"Establishments with 1,000 employees or more",0,2011
Guam,66,3379,53539,All establishments,1286460,2011
Guam,66,1514,2972,Establishments with 1 to 4 employees,78118,2011
Guam,66,760,5023,Establishments with 5 to 9 employees,107676,2011
Guam,66,534,7070,Establishments with 10 to 19 employees,151612,2011
Guam,66,385,11563,Establishments with 20 to 49 employees,251157,2011
Guam,66,105,7255,Establishments with 50 to 99 employees,180390,2011
Guam,66,56,8297,Establishments with 100 to 249 employees,190503,2011
Guam,66,18,5990,Establishments with 250 to 499 employees,156314,2011
Guam,66,6,4329,Establishments with 500 to 999 employees,122182,2011
Guam,66,1,0,"Establishments with 1,000 employees or more",0,2011
Commonwealth of the Northern Mariana Islands,69,1237,10450,All establishments,153262,2011
Commonwealth of the Northern Mariana Islands,69,812,0,Establishments with 1 to 4 employees,19760,2011
Commonwealth of the Northern Mariana Islands,69,207,1378,Establishments with 5 to 9 employees,20346,2011
Commonwealth of the Northern Mariana Islands,69,114,1487,Establishments with 10 to 19 employees,21627,2011
Commonwealth of the Northern Mariana Islands,69,76,2211,Establishments with 20 to 49 employees,31818,2011
Commonwealth of the Northern Mariana Islands,69,11,737,Establishments with 50 to 99 employees,8515,2011
Commonwealth of the Northern Mariana Islands,69,12,1780,Establishments with 100 to 249 employees,29794,2011
Commonwealth of the Northern Mariana Islands,69,5,1488,Establishments with 250 to 499 employees,21402,2011
Commonwealth of the Northern Mariana Islands,69,0,0,Establishments with 500 to 999 employees,0,2011
Commonwealth of the Northern Mariana Islands,69,0,0,"Establishments with 1,000 employees or more",0,2011
Puerto Rico,72,44056,673677,All establishments,16484993,2011
Puerto Rico,72,24534,45652,Establishments with 1 to 4 employees,1028020,2011
Puerto Rico,72,8474,55511,Establishments with 5 to 9 employees,1084693,2011
Puerto Rico,72,5262,70084,Establishments with 10 to 19 employees,1415587,2011
Puerto Rico,72,3628,109716,Establishments with 20 to 49 employees,2357809,2011
Puerto Rico,72,1113,75931,Establishments with 50 to 99 employees,1813217,2011
Puerto Rico,72,685,104773,Establishments with 100 to 249 employees,2691443,2011
Puerto Rico,72,230,83097,Establishments with 250 to 499 employees,2269209,2011
